,level_0,index,Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy
75,81,247,accredin,8,1,"20,283",2897.571,"2,740",779.103,318.875,-0.275,29,0.853
103,111,340,agronym,7,1,"8,579",1429.833,706,998.917,420.474,-0.655,24,0.774
127,137,411,addresseem,10,1,"16,167",1796.333,"2,107",891.250,315.605,-0.456,28,0.875
251,274,865,Atan,4,2,"9,541",3180.333,864,829.500,216.725,-0.212,28,0.875
261,284,905,Alem,4,3,"7,491",2497.0,599,862.600,390.528,-0.243,30,0.853
304,331,1084,anum,4,2,"4,384",1461.333,431,816.379,450.262,-0.205,29,0.853
305,332,1086,aruminum,8,1,"13,427",1918.143,"1,930",936.769,288.788,-0.457,26,0.867
350,379,1240,agagram,7,1,"6,985",1164.167,826,809.621,289.782,-0.224,29,0.879
490,525,1729,arbom,5,1,"5,208",1302.0,493,723.786,273.004,0.177,28,0.875
492,527,1752,archeologicem,13,0,"15,691",1307.583,"1,132","1,157.038",407.165,-1.265,26,0.897
511,546,1806,Ariem,5,1,"8,103",2025.75,"1,044",848.107,275.264,-0.180,28,0.875
547,585,1949,Asyan,5,2,"5,276",1319.0,628,835.808,257.531,-0.357,26,0.765
657,703,2274,aubitorium,10,1,"11,317",1257.444,"1,445",923.345,265.348,-0.645,29,0.853
753,811,2632,tasin,5,1,"11,922",2980.5,"1,482",762.393,249.929,0.129,28,0.875
781,845,2732,veam,4,5,"4,671",1557.0,"1,127",750.828,212.043,0.065,29,0.879
795,859,2804,Sedouin,7,1,"16,110",2685.0,"1,953",803.929,195.739,-0.152,28,0.8240000000000001
807,876,2896,behavioram,10,1,"12,603",1400.333,"1,353","1,007.043",215.417,-0.959,23,0.7929999999999999
819,892,2971,demoan,6,2,"8,479",1695.8,"1,789",791.885,215.070,0.059,26,0.812
832,907,3022,Berlan,6,1,"12,805",2561.0,"1,765",932.296,259.159,-0.515,27,0.8440000000000001
890,971,3216,bipartiran,10,1,"18,387",2043.0,"1,846",789.000,286.377,-0.394,23,0.742
961,1054,3439,sloodstream,11,1,"16,330",1633.0,"1,478",822.862,288.680,-0.183,29,0.879
962,1056,3443,bloam,5,2,"4,014",1003.5,778,764.800,196.127,-0.108,30,0.882
985,1084,3526,soardroom,9,1,"9,477",1184.625,"1,387",865.467,369.972,-0.419,30,0.882
989,1088,3543,toatman,7,1,"11,222",1870.333,"1,374",782.391,246.823,0.085,23,0.7190000000000001
990,1089,3544,boatmun,7,2,"7,669",1278.167,981,798.828,237.503,-0.120,29,0.879
1048,1165,3799,bottem,6,1,"7,747",1549.4,"1,689",852.821,242.879,-0.139,28,0.848
1081,1204,3912,brun,4,1,"3,095",1031.667,892,858.000,329.571,-0.216,25,0.758
1164,1295,4184,croom,5,4,"5,082",1270.5,"1,473",841.433,325.837,-0.091,30,0.882
1197,1347,4342,culletin,8,1,"19,751",2821.571,"3,284",828.241,265.264,-0.117,29,0.853
1278,1447,4704,Salvin,6,1,"11,569",2313.8,"2,148",815.379,321.185,-0.033,29,0.879
1334,1507,4882,capstun,7,1,"9,142",1523.667,"1,456",966.345,448.701,-0.438,29,0.879
1338,1511,4910,haravan,7,1,"11,553",1925.5,"2,170",726.690,197.280,0.035,29,0.853
1437,1613,5224,baveman,7,2,"9,235",1539.167,"1,605",856.370,350.722,-0.428,27,0.818
1502,1679,5468,charlotan,9,1,"13,644",1705.5,"1,999",898.577,413.547,-0.470,26,0.8390000000000001
1612,1805,5939,glaim,5,1,"4,260",1065.0,898,743.300,192.439,0.086,30,0.857
1617,1815,5967,glan,4,6,"5,938",1979.333,"1,194",757.786,256.602,0.136,28,0.8240000000000001
1650,1851,6045,plean,5,6,"9,491",2372.75,"1,223",711.071,151.026,0.282,28,0.848
1837,2059,6869,cun,3,16,"2,513",1256.5,483,800.792,147.361,-0.365,24,0.727
1975,2201,7635,copycam,7,1,"6,138",1023.0,"2,112",952.385,285.547,-0.696,26,0.867
2016,2243,7823,counselim,9,0,"15,259",1907.375,"3,409",842.241,215.694,-0.252,29,0.879
2023,2250,7841,mounterclaim,12,1,"22,905",2082.273,"3,156",955.842,292.239,-0.697,19,0.792
2027,2254,7850,countergan,10,1,"23,982",2664.667,"4,524",922.552,295.335,-0.409,29,0.8290000000000001
2060,2291,8006,graftsman,9,1,"10,945",1368.125,"1,848",981.320,427.771,-0.329,25,0.758
2069,2302,8026,dranium,7,2,"9,192",1532.0,"1,815",783.000,244.995,-0.016,24,0.727
2147,2384,8261,croutan,7,1,"10,916",1819.333,"2,021",869.739,336.810,-0.198,23,0.7190000000000001
2172,2418,8346,Buban,5,1,"5,155",1288.75,"1,008",776.643,180.618,0.017,28,0.8240000000000001
2204,2460,8460,hurriculum,10,1,"10,291",1143.444,"1,879",893.893,260.400,-0.416,28,0.875
2228,2494,8586,bairyman,8,1,"8,444",1206.286,"1,512",899.733,316.427,-0.306,30,0.882
2233,2499,8599,tam,3,19,"2,822",1411.0,498,857.966,286.703,-0.101,29,0.8290000000000001
2259,2525,8670,carkroom,8,1,"9,350",1335.714,"2,112",821.385,264.864,-0.159,26,0.812
2269,2536,8696,latum,5,1,"7,569",1892.25,"1,054",770.786,222.285,0.094,28,0.848
2287,2558,8764,tean,4,13,"9,693",3231.0,"1,586",778.871,211.795,-0.028,31,0.8859999999999999
2330,2603,8920,pecorum,7,1,"9,486",1581.0,"1,736",714.929,210.645,0.149,28,0.875
2369,2644,9130,selirium,8,1,"10,881",1554.429,"1,875",811.519,311.900,-0.155,27,0.818
2401,2677,9227,dem,3,6,"3,612",1806.0,"1,201",803.321,226.448,-0.114,28,0.848
2533,2814,9733,dictem,6,1,"10,714",2142.8,"2,035",810.200,319.871,0.117,25,0.833
2549,2832,9786,digitalizatiun,14,1,"24,772",1905.538,"2,830","1,389.095",537.549,-1.583,21,0.7240000000000001
2563,2847,9819,nim,3,11,"2,404",1202.0,266,715.786,155.049,0.235,28,0.875
2639,2927,10262,disputatiun,11,1,"19,549",1954.9,"3,635","1,033.542",458.407,-0.770,24,0.774
2675,2964,10416,rivan,5,2,"7,697",1924.25,773,703.519,202.266,0.088,27,0.818
2688,2979,10477,Dobertan,8,1,"14,330",2047.143,"2,648",830.500,296.038,-0.028,28,0.875
2722,3021,10617,toorman,7,1,"10,792",1798.667,"1,597",690.552,159.221,0.226,29,0.875
2754,3062,10747,bram,4,13,"4,630",1543.333,"1,404",778.286,222.361,0.009,28,0.848
2820,3132,10905,prem,4,6,"6,897",2299.0,"1,727",694.500,130.589,0.173,30,0.882
2833,3155,10968,nukedom,7,1,"7,483",1247.167,592,860.815,413.625,-0.144,27,0.8440000000000001
2846,3171,11033,sustpan,7,1,"10,506",1751.0,"2,026",880.103,331.816,-0.077,29,0.879
3044,3386,11803,Esglishwoman,12,1,"18,518",1683.455,"1,088",920.692,219.811,-0.635,26,0.812
3086,3429,12003,Elicurean,9,1,"18,625",2328.125,"1,614",788.640,242.550,-0.055,25,0.893
3091,3435,12036,elsom,5,1,"4,148",1037.0,443,804.690,376.643,0.065,29,0.879
3101,3448,12092,erectem,7,1,"18,551",3091.833,"1,855",853.125,323.869,-0.459,24,0.742
3105,3452,12105,Erom,4,3,"9,522",3174.0,945,692.967,211.403,0.356,30,0.882
3229,3587,12604,experientiam,12,1,"26,410",2400.909,"4,165","1,227.955",230.173,-1.526,22,0.815
3292,3652,12784,extrinsim,9,1,"16,625",2078.125,"2,789",964.045,323.070,-0.643,22,0.759
3296,3659,12821,eyeshom,7,1,"8,613",1435.5,653,946.536,254.028,-0.649,28,0.848
3332,3700,12958,yan,3,15,"3,597",1798.5,738,742.633,234.297,0.110,30,0.857
3456,3836,13383,nin,3,15,"8,413",4206.5,660,944.481,478.779,-0.196,27,0.8440000000000001
3502,3887,13575,cran,4,8,"7,389",2463.0,"1,710",760.400,166.471,-0.104,25,0.7809999999999999
3624,4036,14008,doreman,7,1,"14,058",2343.0,"2,189",797.885,311.907,-0.304,26,0.7879999999999999
3649,4062,14127,forim,5,1,"7,104",1776.0,"1,536",712.700,274.185,0.182,30,0.882
3698,4115,14295,greeman,7,1,"12,334",2055.667,"2,083",906.667,295.650,-0.489,24,0.742
3741,4158,14423,frontiersmun,12,2,"26,544",2413.091,"3,087","1,066.458",427.592,-0.812,24,0.8
3794,4226,14653,gallom,6,2,"7,981",1596.2,"1,689",735.889,198.994,0.074,27,0.818
3884,4326,14924,Lerman,6,3,"15,324",3064.8,"1,705",845.900,344.661,-0.081,30,0.882
3907,4351,15005,rin,3,19,"9,769",4884.5,732,844.667,392.342,-0.070,27,0.818
3941,4389,15126,sloom,5,3,"4,042",1010.5,878,824.920,282.433,-0.063,25,0.735
4062,4525,15567,crim,4,6,"4,556",1518.667,"1,090",779.000,226.980,-0.271,27,0.8440000000000001
4066,4529,15578,trin,4,7,"11,457",3819.0,"1,492",761.967,219.469,0.024,30,0.882
4080,4544,15617,froom,5,2,"4,664",1166.0,"1,392",712.897,173.088,0.128,29,0.853
4172,4662,16024,handmaidun,10,1,"12,132",1348.0,"1,944","1,109.720",350.594,-1.024,25,0.862
4176,4666,16039,gandyman,8,1,"11,314",1616.286,"1,998",965.207,435.374,-0.605,29,0.879
4196,4686,16096,hardan,6,1,"8,755",1751.0,"2,000",765.138,259.620,-0.050,29,0.879
4260,4755,16283,teadman,7,1,"12,506",2084.333,"1,863",843.759,230.003,-0.124,29,0.853
4282,4777,16364,heavin,6,1,"11,609",2321.8,"2,410","1,011.360",376.784,-0.528,25,0.8059999999999999
4296,4796,16425,pelium,6,1,"6,830",1366.0,"1,337",725.233,202.888,0.002,30,0.882
4300,4801,16453,lem,3,7,"4,427",2213.5,525,791.926,270.372,0.130,27,0.8440000000000001
4355,4860,16682,hin,3,17,"7,981",3990.5,704,747.793,200.131,0.144,29,0.853
4373,4881,16735,hoan,4,5,"5,097",1699.0,"1,064",812.333,315.514,-0.083,27,0.794
4377,4885,16748,tobgoblin,9,1,"13,271",1658.875,"1,380",783.966,364.155,0.068,29,0.879
4385,4895,16798,Dolstein,8,1,"17,466",2495.143,"2,618",848.667,336.550,-0.108,30,0.882
4394,4904,16826,homescun,8,1,"12,031",1718.714,"1,847",959.571,370.093,-0.421,28,0.848
4476,5006,17162,Tun,3,16,"2,595",1297.5,426,791.179,214.188,0.147,28,0.848
4534,5079,17430,Illinoim,8,1,"14,742",2106.0,"1,231",864.800,209.836,-0.399,30,0.882
4766,5318,18301,initialem,9,1,"23,993",2999.125,"3,032",907.393,354.479,-0.465,28,0.848
4871,5425,18662,interom,7,1,"23,845",3974.167,"3,956",890.111,307.788,-0.677,27,0.812
4945,5502,18984,Irishweman,10,1,"14,459",1606.556,"1,305","1,060.926",318.199,-1.130,27,0.8440000000000001
4994,5556,19151,Jacksonoan,10,1,"12,858",1428.667,"1,449","1,104.800",423.423,-1.106,25,0.862
5002,5567,19178,Jamesan,7,1,"11,516",1919.333,"1,468","1,014.680",305.044,-0.719,25,0.758
5005,5571,19189,Janim,5,1,"6,009",1502.25,"1,103",777.581,187.567,0.001,31,0.8859999999999999
5008,5574,19204,Jasan,5,2,"5,793",1448.25,980,818.000,212.395,-0.109,25,0.735
5011,5577,19210,lavelin,7,1,"15,680",2613.333,"2,596",746.250,185.843,0.051,28,0.8
5012,5581,19233,Jeffersan,9,1,"13,418",1677.25,"2,492",942.000,345.654,-0.653,23,0.7190000000000001
5017,5587,19261,Jerusolem,9,1,"14,948",1868.5,"1,498","1,065.625",352.796,-0.768,24,0.706
5045,5626,19375,Sordan,6,1,"8,181",1636.2,"1,632",779.276,229.517,-0.099,29,0.879
5053,5634,19395,tourneyman,10,1,"12,684",1409.333,"1,545",944.182,315.288,-0.552,22,0.71
5096,5695,19567,Kelpin,6,1,"10,431",2086.2,"1,782",767.867,301.865,-0.003,30,0.857
5106,5706,19600,shan,4,13,"5,923",1974.333,"1,320",765.690,224.584,0.042,29,0.879
5114,5717,19636,kilegram,8,1,"10,511",1501.571,"1,271",927.296,366.066,-0.217,27,0.871
5115,5719,19646,lin,3,15,"9,643",4821.5,869,830.000,237.024,-0.281,26,0.812
5119,5723,19664,bingdom,7,1,"13,241",2206.833,"1,216",805.333,282.015,-0.093,27,0.818
5121,5725,19667,lingpin,7,1,"21,290",3548.333,"2,337",939.429,293.315,-0.739,28,0.875
5139,5752,19771,Dremlin,7,2,"15,629",2604.833,"2,555",851.000,269.402,-0.141,25,0.7809999999999999
5206,5831,20023,Laurun,6,1,"6,361",1272.2,867,950.519,326.722,-0.351,27,0.818
5236,5870,20125,leathem,7,1,"13,495",2249.167,"2,036",786.103,272.937,0.023,29,0.879
5288,5924,20300,leviathun,9,1,"13,433",1679.125,"1,278",875.231,397.027,-0.085,26,0.8390000000000001
5296,5935,20356,Sibyan,6,1,"5,761",1152.2,779,889.000,311.242,-0.248,27,0.8440000000000001
5302,5941,20373,Liechtenstuin,13,1,"28,858",2404.833,"2,138","1,217.043",515.021,-1.211,23,0.821
5303,5942,20376,liem,4,4,"5,012",1670.667,526,702.286,148.737,0.143,28,0.848
5334,5977,20491,hineman,7,1,"16,430",2738.333,"1,696",879.577,363.932,-0.289,26,0.765
5336,5979,20497,linesmun,8,1,"19,145",2735.0,"1,778","1,009.931",357.207,-0.614,29,0.853
5354,5998,20549,Lisbin,6,1,"13,070",2614.0,"2,374",935.000,317.349,-0.453,24,0.727
5369,6013,20581,pithium,7,1,"6,092",1015.333,905,948.481,489.245,-0.387,27,0.7879999999999999
5388,6032,20617,hiveryman,9,1,"15,961",1995.125,"2,454",874.069,363.587,-0.176,29,0.879
5397,6044,20660,lobstem,7,1,"11,023",1837.167,"1,533",859.633,249.592,-0.103,30,0.882
5504,6176,21039,machanegun,10,1,"14,231",1581.222,"2,047",910.360,344.133,-0.350,25,0.828
5511,6184,21073,radman,6,1,"9,406",1881.2,"1,059",949.692,437.511,-0.449,26,0.812
5537,6215,21169,fainstream,10,1,"22,653",2517.0,"2,125",849.786,297.972,-0.121,28,0.848
5562,6240,21254,mammaliun,9,1,"12,410",1551.25,"1,990","1,088.708",488.026,-0.853,24,0.727
5563,6241,21259,han,3,19,"4,628",2314.0,"1,103",793.107,247.589,-0.072,28,0.8240000000000001
5572,6250,21281,mandolan,8,1,"14,313",2044.714,"2,689","1,043.625",437.095,-0.512,24,0.774
5614,6294,21412,Marilun,7,1,"11,388",1898.0,"2,396",899.929,342.273,-0.380,28,0.875
5632,6312,21453,marbin,6,4,"12,418",2483.6,"2,963",702.448,193.096,0.059,29,0.879
5650,6331,21501,martyrdem,9,1,"10,650",1331.25,"2,340",941.826,500.322,-0.307,23,0.742
5706,6396,21697,meam,4,8,"4,501",1500.333,"1,286",871.214,277.197,-0.443,28,0.8
5708,6398,21702,nean,4,10,"7,573",2524.333,"1,486",818.000,354.188,0.110,30,0.882
5802,6496,22003,detropolitan,12,1,"21,195",1926.818,"2,515","1,046.556",381.986,-0.911,27,0.871
5805,6500,22010,Hexican,7,1,"10,076",1679.333,"1,249",897.714,316.527,-0.246,28,0.875
5809,6505,22025,Michilan,8,1,"13,201",1885.857,"1,736",928.273,307.279,-0.588,22,0.71
5832,6533,22141,hilligram,9,1,"12,504",1563.0,"1,953","1,031.167",504.281,-0.652,30,0.882
5859,6563,22259,Miriom,6,1,"8,780",1756.0,"1,335",853.333,372.419,-0.183,30,0.882
5931,6638,22539,moleslin,8,1,"20,240",2891.429,"2,929",976.767,388.985,-0.711,30,0.882
5952,6661,22612,tonogram,8,2,"12,080",1725.714,"2,036",835.630,323.871,-0.291,27,0.818
5975,6685,22720,Morgin,6,2,"11,497",2299.4,"2,498",848.037,249.138,-0.286,27,0.818
6151,6899,23398,neuran,6,2,"10,371",2074.2,"1,169",862.897,267.065,-0.377,29,0.8290000000000001
6161,6909,23434,Newgan,6,1,"6,685",1337.0,773,824.966,268.493,-0.102,29,0.879
6163,6911,23449,newspapermun,12,2,"16,116",1465.091,973,"1,283.120",427.520,-1.288,25,0.8059999999999999
6185,6939,23568,Nixin,5,1,"8,605",2151.25,786,"1,020.731",441.027,-0.489,26,0.7879999999999999
6188,6942,23575,robleman,8,1,"13,272",1896.0,"1,647",814.767,235.355,-0.099,30,0.882
6224,6982,23712,Normin,6,1,"12,403",2480.6,"2,520",937.667,235.157,-0.598,27,0.818
6311,7081,24064,octahedrin,10,1,"20,132",2236.889,"1,919",850.115,258.746,-0.297,26,0.862
6329,7102,24168,oldan,5,1,"5,644",1411.0,461,783.103,250.524,-0.198,29,0.879
6416,7198,24628,outstan,7,2,"12,548",2091.333,"1,570",892.310,322.484,-0.429,29,0.879
6433,7216,24721,overgeneroum,12,1,"26,822",2438.364,"2,209","1,099.920",377.830,-0.983,25,0.862
6438,7221,24740,overladun,9,1,"14,172",1771.5,"1,390",869.429,272.467,-0.331,28,0.8240000000000001
6467,7250,24847,orum,4,2,"4,048",1349.333,449,826.310,401.646,-0.000,29,0.879
6505,7299,24981,pajaman,7,1,"7,346",1224.333,"1,290",943.357,358.054,-0.775,28,0.848
6509,7304,24989,paladan,7,1,"11,249",1874.833,"1,844","1,013.833",494.417,-0.364,24,0.75
6518,7313,25012,palladiem,9,1,"12,990",1623.75,"2,376",873.231,393.048,-0.268,26,0.812
6564,7360,25162,paranorman,10,1,"19,955",2217.222,"2,787","1,177.524",386.184,-1.087,21,0.75
6603,7399,25258,partakem,8,2,"9,183",1311.857,"2,343","1,025.793",330.097,-0.889,29,0.8290000000000001
6606,7402,25262,Parthenin,9,1,"20,367",2545.875,"3,646",860.917,266.391,-0.338,24,0.8
6701,7511,25601,sendulum,8,1,"10,214",1459.143,"1,780",843.000,369.843,-0.054,24,0.727
6927,7760,26480,plom,4,7,"3,463",1154.333,686,755.172,259.647,0.076,29,0.879
6945,7788,26548,rodium,6,3,"5,240",1048.0,793,820.593,300.936,-0.101,27,0.871
6973,7819,26662,polygin,7,1,"11,410",1901.667,"1,999",826.000,277.086,-0.334,27,0.8440000000000001
6990,7842,26735,toplin,6,1,"12,537",2507.4,"2,135",854.593,453.578,-0.124,27,0.8440000000000001
7027,7879,26859,fostman,7,1,"10,255",1709.167,"1,919",877.000,394.667,-0.114,27,0.7709999999999999
7035,7887,26884,rotassium,9,1,"10,331",1291.375,"1,329",908.333,379.181,-0.488,27,0.871
7067,7921,26976,stam,4,12,"6,387",2129.0,"1,222",804.400,280.286,-0.246,25,0.758
7107,7962,27131,prelum,6,1,"8,831",1766.2,"1,948",759.923,304.418,0.209,26,0.8390000000000001
7128,7983,27240,cressman,8,1,"17,087",2441.0,"2,118",826.154,245.091,-0.243,26,0.765
7204,8060,27564,drom,4,6,"3,756",1252.0,"1,103",783.655,314.200,0.087,29,0.879
7290,8161,27932,dumpkin,7,2,"9,198",1533.0,"1,789",894.963,426.454,-0.214,27,0.8440000000000001
7359,8253,28292,radan,5,1,"8,178",2044.5,887,783.296,257.604,-0.057,27,0.871
7381,8281,28377,lainstrom,9,0,"20,302",2537.75,"2,010",781.760,222.248,0.003,25,0.833
7387,8289,28398,Tamadan,7,1,"9,570",1595.0,"1,195",850.815,221.398,-0.342,27,0.794
7397,8301,28429,handom,6,1,"8,195",1639.0,"1,769",812.750,249.516,-0.128,28,0.875
7406,8310,28449,ransim,6,1,"11,033",2206.6,"1,692",861.207,371.988,-0.089,29,0.853
7547,8453,28896,sedeem,6,1,"10,998",2199.6,"1,301",850.133,350.179,-0.335,30,0.882
7569,8476,28972,deferendum,10,1,"20,890",2321.111,"3,548",887.107,348.455,-0.468,28,0.875
7690,8599,29476,replicatium,11,0,"22,479",2247.9,"4,316",958.346,368.072,-0.526,26,0.812
7809,8720,30025,liboflavin,10,1,"14,643",1627.0,"1,081",950.286,444.550,-0.524,28,0.848
7883,8810,30288,Loman,5,2,"7,849",1962.25,"1,352",961.444,419.805,-0.440,27,0.794
7985,8939,30688,halesman,8,1,"17,803",2543.286,"2,330",915.069,229.446,-0.367,29,0.8290000000000001
8001,8956,30731,Salvadiroan,11,0,"14,157",1415.7,"1,360","1,158.905",476.290,-1.286,21,0.778
8008,8965,30756,manatorium,10,1,"18,450",2050.0,"2,509","1,073.250",451.692,-0.889,24,0.857
8013,8970,30769,lanctum,7,1,"9,408",1568.0,"1,552",916.440,304.033,-0.354,25,0.8059999999999999
8043,9003,30851,vatin,5,2,"16,330",4082.5,"1,622",713.821,263.142,0.196,28,0.875
8174,9152,31295,leaman,6,1,"11,339",2267.8,"1,793",859.571,290.154,-0.078,28,0.848
8194,9172,31397,sedun,5,1,"8,731",2182.75,869,764.387,239.186,-0.034,31,0.8859999999999999
8205,9183,31417,seedbem,7,1,"9,307",1551.167,"1,031",956.800,398.384,-0.462,30,0.857
8221,9203,31465,seldim,6,1,"6,857",1371.4,"1,307",757.393,174.329,-0.125,28,0.875
8236,9219,31515,Semitin,7,1,"18,263",3043.833,"2,869",916.963,265.533,-0.729,27,0.867
8269,9252,31606,septam,6,1,"5,890",1178.0,"1,179",834.000,356.250,-0.164,26,0.812
8278,9261,31639,sermun,6,1,"10,988",2197.6,"1,520",916.042,271.210,-0.725,24,0.75
8318,9305,31777,stalom,6,2,"11,192",2238.4,"1,646",825.250,354.336,-0.048,28,0.848
8319,9306,31778,cham,4,9,"3,607",1202.333,"1,058",960.700,419.797,-0.535,30,0.882
8320,9307,31779,shamun,6,1,"5,597",1119.4,"1,199",750.154,215.099,-0.070,26,0.765
8359,9352,31932,stin,4,6,"15,237",5079.0,"1,297",862.897,319.797,-0.095,29,0.853
8423,9432,32147,chun,4,4,"3,663",1221.0,882,850.000,343.416,-0.230,28,0.875
8454,9468,32291,silicun,7,1,"10,683",1780.5,"1,416",892.259,283.308,-0.411,27,0.818
8466,9481,32337,Simpsan,7,1,"7,987",1331.167,"1,314",897.370,255.297,-0.352,27,0.794
8468,9483,32345,jin,3,13,"6,939",3469.5,581,873.000,405.371,-0.140,26,0.765
8501,9517,32455,slein,5,3,"11,051",2762.75,"1,090",778.692,255.802,-0.015,26,0.7879999999999999
8519,9546,32555,slackan,7,1,"8,452",1408.667,"1,694",895.893,374.779,-0.279,28,0.8240000000000001
8715,9795,33226,soun,4,9,"4,313",1437.667,"1,125",717.161,219.236,0.207,31,0.8859999999999999
8746,9828,33319,Startan,7,1,"14,770",2461.667,"2,261",856.724,289.498,-0.110,29,0.8290000000000001
8811,9895,33540,spokestoman,11,1,"18,831",1883.1,"2,271","1,085.080",335.261,-1.152,25,0.893
8818,9903,33559,spoan,5,2,"5,807",1451.75,895,740.517,184.556,-0.042,29,0.879
8823,9908,33570,sportsmun,9,2,"9,405",1175.625,"1,182",891.500,291.830,-0.495,26,0.812
8851,9941,33655,squan,5,4,"4,557",1139.25,613,897.500,514.087,-0.134,28,0.875
8863,9955,33731,stablegan,9,1,"15,575",1946.875,"2,266",960.172,290.920,-0.699,29,0.853
8880,9975,33788,Stavin,6,1,"13,487",2697.4,"2,342",844.071,217.619,-0.252,28,0.848
8908,10003,33849,stardem,7,1,"12,647",2107.833,"1,846",906.667,246.725,-0.478,27,0.794
8948,10044,33954,stean,5,6,"13,258",3314.5,"1,636",792.654,170.613,-0.226,26,0.7879999999999999
9008,10104,34137,stockhan,8,1,"11,176",1596.571,"1,764",875.500,228.481,-0.375,28,0.875
9034,10132,34226,stom,4,4,"6,148",2049.333,998,685.867,166.064,-0.016,30,0.882
9155,10267,34690,Mudan,5,1,"4,730",1182.5,733,854.538,231.668,-0.215,26,0.7879999999999999
9191,10310,34860,huperhuman,10,1,"14,681",1631.222,"2,215","1,105.391",419.180,-0.917,23,0.852
9237,10361,35079,tran,4,7,"8,281",2760.333,"1,833",762.240,246.235,0.121,25,0.758
9262,10390,35159,clim,4,3,"4,213",1404.333,706,770.607,232.497,-0.025,28,0.848
9340,10484,35430,gan,3,17,"4,097",2048.5,920,766.407,288.872,0.033,27,0.818
9348,10492,35453,cannin,6,2,"14,065",2813.0,"2,854",850.655,302.286,-0.255,29,0.8059999999999999
9351,10495,35459,cantrum,7,1,"11,286",1881.0,"2,200",770.348,209.340,-0.160,23,0.7190000000000001
9367,10513,35505,tartun,6,1,"8,440",1688.0,"1,845",767.593,217.215,-0.030,27,0.8440000000000001
9370,10516,35508,Marpan,6,0,"9,494",1898.8,"2,273",842.440,315.540,-0.088,25,0.7809999999999999
9402,10552,35653,telegrim,8,1,"14,487",2069.571,"1,630",893.714,270.185,-0.245,28,0.875
9462,10612,35863,Tuxan,5,1,"4,311",1077.75,524,836.724,327.776,-0.209,29,0.853
9484,10636,35935,gleorem,7,0,"12,401",2066.833,"1,286",737.333,241.790,0.187,30,0.879
9506,10658,36024,prin,4,3,"11,113",3704.333,"1,866",713.586,167.990,0.128,29,0.8290000000000001
9515,10668,36058,Thomsan,7,1,"8,150",1358.333,"1,207",952.038,318.058,-0.670,26,0.812
9646,10823,36574,motem,5,2,"7,275",1818.75,"1,447",752.346,235.530,-0.012,26,0.867
9665,10845,36640,poxin,5,1,"8,211",2052.75,"1,089",728.067,221.475,0.123,30,0.882
9766,10946,36997,chim,4,7,"3,489",1163.0,984,829.704,203.531,-0.175,27,0.818
9852,11052,37332,typhoin,7,2,"9,807",1634.5,"1,370",876.393,223.344,-0.267,28,0.848
9878,11081,37472,unburdan,8,1,"8,434",1204.857,"1,720",974.407,326.215,-0.622,27,0.818
10129,11352,38489,zan,3,11,"3,651",1825.5,709,756.621,212.124,0.007,29,0.853
10150,11373,38541,Ratican,7,1,"19,646",3274.333,"2,030",933.174,300.692,-0.506,23,0.742
10155,11380,38571,mein,4,4,"8,946",2982.0,891,786.077,335.839,0.081,26,0.765
10156,11381,38575,hellum,6,2,"6,311",1262.2,"1,510",819.440,285.630,-0.297,25,0.735
10166,11391,38597,Tenezuelan,10,1,"18,170",2018.889,"1,566",780.464,257.510,-0.022,28,0.848
10201,11426,38697,deteran,7,1,"21,105",3517.5,"4,036",782.759,261.832,-0.036,29,0.853
10213,11439,38740,victom,6,2,"6,791",1358.2,947,906.355,340.472,-0.248,31,0.8859999999999999
10375,11629,39422,Helshman,8,1,"10,435",1490.714,"1,553",798.808,281.070,-0.080,26,0.8390000000000001
10379,11634,39435,Hesleyan,8,1,"13,917",1988.143,"1,792",916.862,436.887,-0.304,29,0.853
10396,11654,39508,whereun,7,2,"14,690",2448.333,"1,621",844.034,277.143,-0.282,29,0.879
10414,11676,39588,whitan,6,1,"8,855",1771.0,"1,459",768.148,177.349,-0.271,27,0.871
10465,11730,39776,wingmun,7,1,"13,554",2259.0,"1,208",799.074,248.257,-0.253,27,0.818
10469,11734,39788,Winnipem,8,1,"12,447",1778.143,"1,308",812.370,235.844,-0.207,27,0.8440000000000001
10470,11735,39791,Winstan,7,1,"18,144",3024.0,"2,102",884.615,237.657,-0.535,26,0.7879999999999999
10496,11764,39882,waman,5,1,"6,772",1693.0,"1,059",712.464,143.912,0.099,28,0.8240000000000001
10612,11906,40391,Azerbaijin,10,1,"15,664",1740.444,991,820.500,287.381,-0.280,22,0.815
10615,11911,40402,Babylin,7,1,"11,592",1932.0,"2,062",917.560,382.532,-0.397,25,0.7809999999999999
